post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
174968230.what-is-a-semantic-layer,2025-10-02T02:40:13.922Z,true,2025-10-02T02:40:14.043Z,2025-10-02T02:40:14.043Z,newsletter,everyone,What is a Semantic Layer?,another Orwellian marketing speak?,
174645345.revisiting-data-quality,2025-11-25T13:19:13.945Z,true,2025-11-25T13:19:14.117Z,2025-11-25T13:19:14.117Z,newsletter,everyone,Revisiting Data Quality,options?,
174535187.clickhouse-a-super-fast-columnar,2025-11-05T12:47:20.616Z,true,2025-11-05T12:47:20.767Z,2025-11-05T12:47:20.767Z,newsletter,everyone,ClickHouse: A Super-Fast Columnar Database,Guest Post Series,
174368057.exclusive-discord-server,2025-09-23T18:43:34.604Z,true,2025-09-23T18:43:34.778Z,2025-09-23T18:43:34.778Z,newsletter,only_paid,Exclusive Discord Server,top notch data professional discussions,
174209187.change-killing-comfortable,2025-09-29T17:15:15.306Z,true,2025-09-29T17:15:15.487Z,2025-09-29T17:15:15.487Z,newsletter,only_paid,Change. Killing Comfortable.,path to a brighter future,
173580165.honest-review-of-motherduck,2025-09-22T12:43:37.699Z,true,2025-09-22T12:43:37.810Z,2025-09-22T12:43:37.810Z,newsletter,everyone,Honest review of MotherDuck,pluck em' feathers,
173382292.8-data-engineering-principals,2025-12-26T18:22:05.755Z,true,2025-12-26T18:22:05.938Z,2025-12-26T18:22:05.938Z,newsletter,only_paid,8 Data Engineering Principals,for the analytics expert,
172846073.incremental-improvements-of-a-data,,false,,,newsletter,only_paid,,,
172819547.honest-review-of-polars-cloud,2025-09-19T13:51:15.232Z,true,2025-09-19T13:51:15.374Z,2025-09-19T13:51:15.374Z,newsletter,everyone,Honest Review of Polars Cloud,from honest Abe,
172802335.lessons-from-vibe-coding-a-saas,,false,,,newsletter,only_paid,,,
172289348.dataframe-to-postgres-fastest-option,2025-09-15T12:36:00.411Z,true,2025-09-15T12:36:03.232Z,2025-09-15T12:36:03.232Z,newsletter,only_paid,DataFrame to Postgres. Fastest option?,into the Thunderdome,
172278197.failures-retries-databricksworkflowtaskgroup,,false,,,newsletter,only_paid,,,
172081123.medallion-architecture-truth-or-fiction,2025-09-08T13:03:44.657Z,true,2025-09-08T13:03:44.752Z,2025-09-08T13:03:44.752Z,newsletter,everyone,Medallion Architecture. Truth or Fiction?,let's rattle the cage,
172036043.its-called-course-pruning-you-ninny,,false,,,newsletter,only_paid,,,
171417184.behold-shortcircuitoperator-apache,2025-09-01T12:12:21.567Z,true,2025-09-01T12:12:21.696Z,2025-09-01T12:12:21.696Z,newsletter,only_paid,Behold. ShortCircuitOperator. Apache Airflow.,I was today years old when ...,
171280287.polars-gpu-execution-70-speed-up,2025-08-25T14:33:17.787Z,true,2025-08-25T14:33:17.881Z,2025-08-25T14:33:17.881Z,newsletter,everyone,Polars GPU Execution. (70% speed up),to the moon,
171279738.should-you-use-rust,,false,,,newsletter,only_paid,,,
170693460.apache-airflow-for-dataops,,false,,,newsletter,only_paid,,,
169531062.json-in-a-lake-house-world,2025-12-01T13:21:36.746Z,true,2025-12-01T13:21:36.931Z,2025-12-01T13:21:36.931Z,newsletter,only_paid,JSON in a Lake House World,Delta Lake style,
169491609.data-deduplication-for-dummies,2025-08-04T12:32:19.715Z,true,2025-08-04T12:32:19.854Z,2025-08-04T12:32:19.854Z,newsletter,only_paid,Data Deduplication for Dummies,you dummy,
169407025.is-speed-all-that-matters,,false,,,newsletter,only_paid,,,
169406866.full-vs-incremental-pipelines,2025-08-11T13:23:32.584Z,true,2025-08-11T13:23:32.683Z,2025-08-11T13:23:32.683Z,newsletter,everyone,Full vs Incremental Pipelines,"full, partial, or both?",
169406750.self-hosted-lake-house,,false,,,newsletter,only_paid,,,
169334829.databricks-workflows-vs-apache-airflow,2025-07-28T15:28:38.440Z,true,2025-07-28T15:28:38.544Z,2025-07-28T15:28:38.544Z,newsletter,everyone,Databricks Workflows vs Apache Airflow,... or both?,
168884347.vector-database-fundamentals-for,,false,,,newsletter,only_paid,,,
168317439.agentic-ai-for-dummies,2025-07-20T21:27:10.919Z,true,2025-07-20T21:27:11.035Z,2025-07-20T21:27:11.035Z,newsletter,everyone,Agentic AI for Dummies,AI within AI,
168243548.data-team-strategy-and-collaboration,2025-07-27T18:34:01.001Z,true,2025-07-27T18:34:01.094Z,2025-07-27T18:34:01.094Z,newsletter,only_paid,Data Team Strategy & Collaboration,spicy eh??!!,
168015872.behold-thy-doom,,false,,,newsletter,only_paid,,,
168012911.data-engineering-central-podcast-410,2025-07-10T21:22:41.573Z,true,2025-07-10T21:22:41.772Z,2025-07-10T21:22:41.772Z,podcast,only_paid,Data Engineering Central Podcast - Episode 8,"Iceberg, Databricks, DuckLake, and more.",
167912000.managing-ml-model-lifecycles-for,2025-07-14T12:14:30.133Z,true,2025-07-14T12:14:30.295Z,2025-07-14T12:14:30.295Z,newsletter,only_paid,Managing ML Model Lifecycles for Dummies,MLOps with Unity Catalog,
167816800.sqlmesh-for-dummies,2025-08-18T01:18:02.041Z,true,2025-08-18T01:18:02.130Z,2025-08-18T01:18:02.130Z,newsletter,only_paid,SQLMesh for dummies.,Too afraid to ask?,
166941914.apache-iceberg-on-databricks,2025-07-02T01:12:33.477Z,true,2025-07-02T01:12:33.591Z,2025-07-02T01:12:33.591Z,newsletter,everyone,Apache Iceberg on Databricks,even if it is a bad idea,
166907671.spark-connect-with-delta-with-lambda,,false,,,newsletter,only_paid,,,
166897198.polars-in-production-on-aws-lambda,2025-06-30T12:30:50.933Z,true,2025-06-30T12:30:51.041Z,2025-06-30T12:30:51.041Z,newsletter,only_paid,Polars in Production on AWS Lambda,ramblings of an old Data Engineer,
166342788.data-cleansing-for-dummies,2025-07-07T15:52:51.484Z,true,2025-07-07T15:52:51.616Z,2025-07-07T15:52:51.616Z,newsletter,everyone,Data Cleansing for Dummies,"yeah, that's what I said.",
166237954.rust-python-perl-cobol-php-oh-my,2025-06-23T12:17:26.951Z,true,2025-06-23T12:17:27.097Z,2025-06-23T12:17:27.097Z,newsletter,everyone,"Rust, Python, Perl, COBOL, PHP ... oh my.",a tale of some languages (Anonymous Rust Dev),
165909036.golang-with-duckdb-and-more,2025-06-17T22:59:55.550Z,true,2025-06-17T22:59:55.708Z,2025-06-17T22:59:55.708Z,newsletter,only_paid,"Golang with DuckDB, and more.",absent from Data Engineering,
165823967.datafusion-vs-duckdb-for-delta-lake,,false,,,newsletter,only_paid,,,
165725915.building-ai-chatbots-on-databricks,,false,,,newsletter,only_paid,,,
165725465.lakebase-from-databricks,2025-06-12T22:49:19.538Z,true,2025-06-12T22:49:19.679Z,2025-06-12T22:49:19.679Z,newsletter,everyone,Lakebase from Databricks.,OLTP meets OLAP,
165210253.nushell-in-a-nutshell,2025-06-09T12:05:24.809Z,true,2025-06-09T12:05:24.964Z,2025-06-09T12:05:24.964Z,newsletter,only_paid,Nushell in a Nutshell,guest post by Anonymous Rust Dev,
165014999.duckdb-enters-the-lake-house-race,2025-06-05T18:57:34.583Z,true,2025-06-05T18:57:34.668Z,2025-06-05T18:57:34.668Z,newsletter,everyone,DuckDB enters the Lake House race.,my two cents on DuckLake,
